,VC0175,VC0176,VC0177,VC0178,VC0179,VC0180,VC0181,VC0182,VC0183,VC0184,VC0185
VC0175,2.713016686052608,1.691316370669469,0.15502057989004492,1.3831390040822729,-0.32969094710231855,0.36409447769502434,0.5350893344137165,-0.14125012251389682,0.4582294549803597,0.017279189153963634,0.4703697198206267
VC0176,1.6913163706694678,2.120434791602584,-0.013196242241733417,1.0822928637037152,-0.30603249239311026,0.25569218660483206,0.4270389475624762,-0.13086601117806862,0.33151506484823534,0.03678394504044403,0.2849646483167237
VC0177,0.15502057989004564,-0.013196242241732865,1.0806808193069657,0.11292980811249177,-0.041586009551836965,0.03599092485262244,0.02496792742750984,-0.1574943707034101,-0.0672092110527862,-0.006888824216355606,-0.029362733105503476
VC0178,1.3831390040822706,1.0822928637037146,0.1129298081124915,1.827040895257291,-0.4617824618253398,0.18713211773017874,0.32587776800513074,-0.0847042701347926,0.3009690610068653,0.009030644278193245,0.2924172101954076
VC0179,-0.32969094710231844,-0.3060324923931107,-0.041586009551835994,-0.4617824618253398,1.684463238801213,-0.9126071776338129,-0.24283653507412237,0.039294220496248436,-0.06625797129320815,0.027504312332195385,-0.1559235875008708
VC0180,0.3640944776950249,0.25569218660483295,0.03599092485262167,0.18713211773017951,-0.9126071776338128,1.6746420404887692,-0.23658701326520956,-0.04871294856878354,0.06346853053120144,0.0027419783564432954,0.021619076678129016
VC0181,0.535089334413717,0.4270389475624769,0.024967927427509518,0.32587776800513146,-0.24283653507412223,-0.23658701326520934,1.2713291203623904,-0.0499606232312746,0.11211881025399216,-0.00546816630336791,0.13942387299643733
VC0182,-0.14125012251389663,-0.13086601117806826,-0.15749437070341052,-0.0847042701347929,0.03929422049624825,-0.04871294856878353,-0.04996062323127417,1.3721047179555155,-0.09042244756572532,-0.5764379082728569,-0.09419229733490363
VC0183,0.4582294549803581,0.3315150648482338,-0.06720921105278611,0.3009690610068641,-0.06625797129320708,0.06346853053120101,0.1121188102539917,-0.09042244756572404,2.154642537655264,-0.6903217264093049,-0.8542823171995784
VC0184,0.017279189153963027,0.03678394504044333,-0.006888824216355247,0.009030644278192682,0.02750431233219545,0.0027419783564429515,-0.00546816630336797,-0.5764379082728568,-0.6903217264093044,1.9414281064035475,-0.42274224145386863
VC0185,0.47036971982062725,0.2849646483167243,-0.029362733105503705,0.2924172101954084,-0.15592358750087087,0.021619076678128804,0.13942387299643716,-0.09419229733490511,-0.8542823171995769,-0.42274224145386813,1.9734291252733525
